Compounds
5α-Dihydrotestosterone (C₂₁H₃₀O₂)
Abiraterone (C₂₂H₂₈O₃)
Acetaminophen (C₈H₉NO₃)
Acetic Acid (CH₃COOH)
Acetic Anhydride (C₄H₆O₃)
Acetone (C₃H₆O)
Acetylcholine (C₇H₁₆N₁O₂)
Acetylene (C₂H₂)
Acetylsalicylic Acid (C₉H₈O₄)
Adenosine (C₁₁H₁₅N₅O₁₁)
Adrenaline (C₉H₁₃N₁O₃)
Alanine (C₃H₇N₁O₂)
Aldosterone (C₂₁H₃₀O₁₃)
Alprazolam (C₁₁H₁₁ClN₂O)
Aminophylline (C₁₄H₁₈N₄O₃)
Ammonia (NH₃)
Amylopectin ((C₆H₁₀O₅)ₙ)
Amylose ((C₆H₁₀O₅)ₙ)
Anastrozole (C₁₈H₁₉N₃O₂)
Aniline (C₆H₇N)
Anticholinergics (C₁₁H₁₄N₂O₂)
Antioxidants (C₁₈H₁₈O₈N₁)
Arabinose (C₅H₁₀O₅)
Arginine (C₆H₁₄N₄O₂)
Aripiprazole (C₁₈H₁₈ClN₃O)
Aripiprazole (C₁₈H₁₈ClN₃O)
Ascorbic Acid (C₆H₈O₆)
Asenapine (C₁₈H₁₈N₂O₂)
Asparagine (C₄H₈N₂O₃)
Aspartame (C₁₄H₁₈N₂O₅)
Aspirin (C₉H₈O₄)
ATP (C₁₁H₁₅N₁₁O₁₁P₄)
Atracurium (C₁₁H₁₄N₂O₃)
Baclofen (C₁₁H₁₄ClN)
Baclofen (C₁₁H₁₄ClN)
Beclomethasone (C₂₁H₂₃O₅)
Beclomethasone (C₂₁H₂₃O₅)
Benzene (C₆H₆)
Benzene (C₆H₆)
Benzyl Alcohol (C₇H₈O)
Beta-Carotene (C₃₈H₅₄)
Betamethasone (C₂₂H₂₉O₁₃)
Betamethasone (C₂₁H₂₃O₄)
Betamethasone (C₂₁H₂₃O₄)
Bicalutamide (C₁₁H₁₃Cl₂N₁O₁)
Biotin (C₁₀H₁₄N₂O₃S)
Buprenorphine (C₂₃H₂₃N₁O₄)
Buprenorphine (C₂₃H₂₃N₁O₄)
Bupropion (C₁₃H₁₉N₁O₂)
Buspirone (C₁₃H₁₈N₂O)
Butane (C₄H₁₀)
Butyric Acid (C₄H₈O₂)
Caffeine (C₈H₁₀N₄O₂)
Caffeine (C₈H₁₀N₄O₂)
Calcium Carbonate (CaCO₃)
cAMP (C₁₀H₁₂N₅O₁₁P)
Camphor (C₁₀H₁₈O)
Capsaicin (C₁₄H₁₉NO₁)
Carbamazepine (C₁₁H₁₅N₁O₂)
Carbon Dioxide (CO₂)
Carvone (C₁₀H₁₄O)
CBD (C₂₁H₃₀O₂)
Celecoxib (C₁₆H₁₄F₃N₁O₃)
Cellulose ((C₆H₁₀O₅)ₙ)
Chitin ((C₈H₁₃N₁O₁₁)ₙ)
Cholecystokinin (C₃₃H₄₆N₁₁O₁₈)
Cholesterol (C₂₇H₄₆O)
Cinnamaldehyde (C₉H₈O)
Citric Acid (C₆H₈O₇)
Citric Acid (C₆H₈O₇)
Citronellol (C₁₀H₁₈O)
Clobetasol (C₂₁H₂₃O₄)
Clobetasol (C₂₁H₂₃O₄)
Clomiphene (C₁₈H₁₉Cl₂N₃O)
Clonazepam (C₁₄H₁₁ClN₂O)
Clozapine (C₁₈H₁₁ClN₄)
Clozapine (C₁₈H₁₁ClN₄)
CoA (C₂₁H₃₃N₇O₁ₐP₃)
Codeine (C₁₈H₁₉N₁O₃)
Codeine (C₁₈H₁₉N₁O₃)
Coenzyme Q10 (C₄₈H₆₃O₁₈)
Corticosterone (C₂₁H₂₉O₄)
Cortisol (C₂₁H₂₉O₅)
Curcumin (C₁₈H₁₈O₃)
Cyclohexane (C₆H₁₂)
Cysteine (C₃H₇N₁O₂S)
Cytidine (C₁₁H₁₅N₃O₅)
Dantrolene (C₁₁H₁₁N₃O₃)
Decane (C₁₀H₂₂)
Dexamethasone (C₂₂H₂₃O₄)
Dexamethasone (C₂₁H₂₃F₁N₁O₆)
Dexamethasone (C₂₁H₂₃F₁N₁O₆)
Diazepam (C₁₄H₁₁ClN₂O)
Diclofenac (C₁₄H₁₁Cl₂N₁O₂)
Dihydrotestosterone (C₂₁H₃₀O₂)
DMT (C₁₂H₁₅N₂)
Dodecane (C₁₂H₂₄)
Dopamine (C₈H₁₃N₁O₂)
Doxazosin (C₁₁H₁₄N₂O₄)
Doxazosin (C₁₁H₁₄N₂O₄)
Duloxetine (C₁₁H₁₃N₃O₂)
Ephedrine (C₁₁H₁₅N₁O₂)
Epinephrine (C₉H₁₃N₁O₃)
Estrogen (C₁₈H₂₄O₃)
Ethanol (C₂H₅OH)
Ethylene (C₂H₄)
Ethylene Glycol (C₂H₆O₂)
Eugenol (C₁₁H₁₄O₂)
Exemestane (C₂₂H₂₈O₁)
FAD (C₁₁H₁₅N₂O₇P₁)
Farnesol (C₁₅H₂₄O)
Fentanyl (C₂₂H₂₃N₂)
Flavonoids (C₁₅H₁₀O₇)
Fludrocortisone (C₂₁H₂₃O₁₁)
Fludrocortisone (C₂₁H₂₃O₄)
Fludrocortisone (C₂₁H₂₃O₄)
Folic Acid (C₁₁H₁₄N₄O₆)
Formic Acid (CH₂O₂)
Formoterol (C₁₁H₁₅N₁O₃)
Fructose (C₆H₁₂O₆)
FSH (C₁₄H₁₈N₄O₄S₁)
Gabapentin (C₁₂H₁₈N₂O₃)
Gabapentin (C₁₂H₁₈N₂O₃)
Galactose (C₆H₁₂O₆)
Gastrin (C₁₉H₂₉N₉O₄S₁)
Geraniol (C₁₀H₁₈O)
GHRH (C₁₈H₂₃N₄O₄)
Glucagon (C₁₉H₂₉N₉O₄S₁)
Glucose (C₆H₁₂O₆)
Glutamine (C₅H₁₁N₂O₃)
Glycerol (C₃H₈O₃)
Glycine (C₂H₅N₁O₂)
Glycogen ((C₆H₁₀O₅)ₙ)
GnRH (C₁₃H₁₇N₄O₁₃)
GTP (C₁₁H₁₅N₁₁O₁₁P₄)
Guanosine (C₁₁H₁₅N₅O₆)
Heptane (C₇H₁₆)
Hexane (C₆H₁₄)
Histamine (C₄H₉N₃)
Histidine (C₆H₉N₃O₂)
Hormones (varied) (C₂₇H₄₆O)
Hydrochloric Acid (HCl)
Hydrocodone (C₁₈H₂₁N₁O₃)
Hydrocortisone (C₂₁H₂₃O₅)
Hydrocortisone (C₂₁H₂₃O₅)
Hydrogen Peroxide (H₂O₂)
Ibuprofen (C₁₃H₁₈O₂)
Indomethacin (C₁₃H₁₁Cl₁N₁O₂)
Inositol (C₆H₁₂O₆)
Insulin (C₂₅H₄₁N₉O₁₄S₂)
Isoleucine (C₆H₁₃N₁O₂)
Isopropyl Alcohol (C₃H₈O)
Ketorolac (C₁₃H₁₁N₃O₃)
Lactic Acid (C₃H₆O₃)
Lactose (C₁₂H₂₂O₁₁)
Lamotrigine (C₁₁H₁₁N₃O₂)
Letrozole (C₂₁H₂₃N₃O₃)
Leucine (C₆H₁₃N₁O₂)
Leuprolide (C₂₃H₂₄N₄O₆)
Levetiracetam (C₁₂H₁₈N₂O₂)
LH (C₁₄H₁₈N₄O₄S₁)
Limonene (C₁₀H₁₈)
Lipids (general) (C₅₇H₁₁₄O₂)
Lithium (C₇H₆Li₁N)
Lorazepam (C₁₄H₁₁ClN₂O)
Lurasidone (C₁₁H₁₄ClN₃O₂)
Lurasidone (C₁₁H₁₄ClN₃O₂)
Lutein (C₂₇H₃₈O₁₁)
Lycopene (C₄₀H₅₂)
Lysine (C₆H₁₄N₂O₂)
Maltose (C₁₂H₂₂O₁₁)
Mannitol (C₆H₁₄O₆)
Melatonin (C₁₄H₁₈N₂O₂)
Meloxicam (C₁₅H₁₃N₃O₃)
Menthol (C₁₃H₂₆O)
Menthol (C₁₃H₂₆O)
Mescaline (C₁₁H₁₅N₂O₄)
Methadone (C₂₁H₂₃N₁O)
Methadone (C₂₁H₂₃N₁O)
Methane (CH₄)
Methanol (CH₃OH)
Methionine (C₅H₁₁N₁O₂S)
Methylprednisolone (C₂₁H₂₃O₅)
Methylprednisolone (C₂₁H₂₃O₅)
Mifepristone (C₂₁H₂₃N₁O₁₁)
Mirtazapine (C₁₁H₁₄N₂S)
Morphine (C₁₈H₁₉N₁O₃)
Morphine (C₁₈H₁₉N₁O₃)
NAD+ (C₁₁H₁₅N₁₁O₇P₁)
Naloxone (C₁₁H₁₃N₁O₃)
Naloxone (C₁₁H₁₃N₁O₃)
